Date,Open,High,Low,Close,Volume,Instrument,Ticker
2019-01-01,531.9124755859375,537.75,526.4000244140625,537.0250244140625,6373440,HDFCBANK,HDFCBANK.NS
2019-01-02,535.7000122070312,536.875,529.9249877929688,532.125,8134232,HDFCBANK,HDFCBANK.NS
2019-01-03,531.0499877929688,532.0625,525.75,527.9500122070312,12771664,HDFCBANK,HDFCBANK.NS
2019-01-04,528.8125,532.125,527.5875244140625,529.3624877929688,7287120,HDFCBANK,HDFCBANK.NS
2019-01-07,531.9249877929688,533.8375244140625,529.5,530.1624755859375,5387012,HDFCBANK,HDFCBANK.NS
2019-01-08,530.5,530.875,524.1624755859375,525.75,8343460,HDFCBANK,HDFCBANK.NS
2019-01-09,529.5,530.3375244140625,525.6500244140625,529.2000122070312,8568628,HDFCBANK,HDFCBANK.NS
2019-01-10,529.25,530.9500122070312,523.1624755859375,527.125,7691540,HDFCBANK,HDFCBANK.NS
2019-01-11,528.4500122070312,531.0,527.0,527.9749755859375,6408040,HDFCBANK,HDFCBANK.NS
2019-01-14,527.4749755859375,527.4749755859375,524.6124877929688,525.4124755859375,4855160,HDFCBANK,HDFCBANK.NS
2019-01-15,526.2625122070312,531.625,525.5,530.4749755859375,5087556,HDFCBANK,HDFCBANK.NS
2019-01-16,530.0125122070312,531.25,527.0625,530.0499877929688,5252452,HDFCBANK,HDFCBANK.NS
2019-01-17,531.3125,533.9749755859375,528.3375244140625,533.0750122070312,8240228,HDFCBANK,HDFCBANK.NS
2019-01-18,533.75,534.75,528.6375122070312,532.5625,5207976,HDFCBANK,HDFCBANK.NS
2019-01-21,534.9874877929688,541.625,531.625,537.0374755859375,17561512,HDFCBANK,HDFCBANK.NS
2019-01-22,536.5,536.7000122070312,532.2625122070312,533.9625244140625,8796976,HDFCBANK,HDFCBANK.NS
2019-01-23,533.5,533.9625244140625,525.3624877929688,526.3499755859375,7624288,HDFCBANK,HDFCBANK.NS
2019-01-24,527.5,530.4124755859375,524.4749755859375,525.5625,10111572,HDFCBANK,HDFCBANK.NS
