Date,Open,High,Low,Close,Volume,Instrument,Ticker
2019-01-01,514.4264526367188,515.3636474609375,507.5003662109375,512.4834594726562,9746670,RELIANCE,RELIANCE.NS
2019-01-02,509.51190185546875,515.2265014648438,503.34014892578125,505.8088684082031,15628818,RELIANCE,RELIANCE.NS
2019-01-03,506.3117370605469,509.5576171875,498.3570556640625,499.56854248046875,16288287,RELIANCE,RELIANCE.NS
2019-01-04,501.6943664550781,504.9173889160156,494.2425537109375,502.26580810546875,18516544,RELIANCE,RELIANCE.NS
2019-01-07,506.0831604003906,511.3177185058594,503.34014892578125,505.0545349121094,12060290,RELIANCE,RELIANCE.NS
2019-01-08,505.21453857421875,507.4317932128906,501.0543212890625,505.0088195800781,12304389,RELIANCE,RELIANCE.NS
2019-01-09,508.3689880371094,510.6548156738281,502.2886657714844,507.7975158691406,12614237,RELIANCE,RELIANCE.NS
2019-01-10,506.426025390625,507.9118347167969,504.2544860839844,506.3117370605469,8925160,RELIANCE,RELIANCE.NS
2019-01-11,506.3574523925781,509.19189453125,497.6712951660156,501.99151611328125,14139060,RELIANCE,RELIANCE.NS
2019-01-14,500.59716796875,503.111572265625,496.66552734375,501.4200744628906,8994060,RELIANCE,RELIANCE.NS
2019-01-15,505.1688232421875,517.5123291015625,505.1688232421875,516.43798828125,22011407,RELIANCE,RELIANCE.NS
2019-01-16,518.8837890625,523.4555053710938,516.7579956054688,519.2952880859375,13961606,RELIANCE,RELIANCE.NS
2019-01-17,523.2040405273438,524.78125,516.5979614257812,518.6323852539062,16379077,RELIANCE,RELIANCE.NS
2019-01-18,525.1926879882812,543.9822387695312,518.9981079101562,541.4449462890625,56181172,RELIANCE,RELIANCE.NS
2019-01-21,545.8566284179688,566.8634033203125,543.4107666015625,565.8347778320312,48206814,RELIANCE,RELIANCE.NS
2019-01-22,563.6175537109375,570.0635986328125,557.56005859375,564.6690063476562,36207430,RELIANCE,RELIANCE.NS
2019-01-23,563.8232421875,568.806396484375,558.6572875976562,560.6231079101562,19313542,RELIANCE,RELIANCE.NS
2019-01-24,560.02880859375,572.9208984375,557.7886962890625,570.2921752929688,28775487,RELIANCE,RELIANCE.NS
2019-01-25,571.6636962890625,578.1782836914062,564.7833251953125,569.6292724609375,18703992,RELIANCE,RELIANCE.NS
2019-01-28,571.6865234375,574.1781005859375,558.8401489257812,562.10888671875,18744303,RELIANCE,RELIANCE.NS
2019-01-29,562.7717895507812,563.0689697265625,549.216796875,553.4684448242188,20405845,RELIANCE,RELIANCE.NS
2019-01-30,555.4571533203125,560.02880859375,544.5308227539062,546.6337890625,17164298,RELIANCE,RELIANCE.NS
2019-01-31,549.5139770507812,562.177490234375,549.0568237304688,561.01171875,22279301,RELIANCE,RELIANCE.NS
2019-02-01,564.143310546875,573.7437744140625,560.9660034179688,571.43505859375,20187323,RELIANCE,RELIANCE.NS
2019-02-04,570.08642578125,592.9219360351562,567.823486328125,590.1560668945312,25528059,RELIANCE,RELIANCE.NS
2019-02-05,590.658935546875,596.3278198242188,584.5328979492188,590.4531860351562,20479210,RELIANCE,RELIANCE.NS
2019-02-06,592.6018676757812,602.38525390625,591.6875610351562,599.002197265625,20586783,RELIANCE,RELIANCE.NS
2019-02-07,599.002197265625,604.0081787109375,587.961669921875,589.927490234375,20150710,RELIANCE,RELIANCE.NS
2019-02-08,587.3673095703125,594.5448608398438,581.6298828125,584.1214599609375,14230054,RELIANCE,RELIANCE.NS
2019-02-11,583.298583984375,583.3442993164062,571.9151000976562,572.9437255859375,16457901,RELIANCE,RELIANCE.NS
2019-02-12,572.1436767578125,581.6755981445312,572.1436767578125,574.3837890625,13998153,RELIANCE,RELIANCE.NS
2019-02-14,567.3434448242188,567.3434448242188,556.82861328125,559.6630249023438,14496604,RELIANCE,RELIANCE.NS
