Date,Open,High,Low,Close,Volume,Instrument,Ticker
2019-01-01,361.5,364.79998779296875,356.3999938964844,363.75,7759872,ICICIBANK,ICICIBANK.NS
2019-01-02,361.5,367.8999938964844,360.29998779296875,364.6000061035156,18243156,ICICIBANK,ICICIBANK.NS
2019-01-03,365.0,367.29998779296875,362.04998779296875,363.25,12884409,ICICIBANK,ICICIBANK.NS
2019-01-04,361.8500061035156,368.79998779296875,358.04998779296875,365.20001220703125,22896026,ICICIBANK,ICICIBANK.NS
2019-01-07,367.5,371.0,366.54998779296875,367.70001220703125,12719847,ICICIBANK,ICICIBANK.NS
2019-01-08,367.79998779296875,381.79998779296875,366.6000061035156,380.1499938964844,21501136,ICICIBANK,ICICIBANK.NS
2019-01-09,381.6499938964844,383.54998779296875,375.6000061035156,382.25,21730142,ICICIBANK,ICICIBANK.NS
2019-01-10,380.95001220703125,382.1499938964844,376.04998779296875,379.5,14497154,ICICIBANK,ICICIBANK.NS
2019-01-11,380.6000061035156,381.20001220703125,375.25,378.54998779296875,12537973,ICICIBANK,ICICIBANK.NS
2019-01-14,378.70001220703125,378.70001220703125,372.70001220703125,373.3500061035156,14844029,ICICIBANK,ICICIBANK.NS
2019-01-15,373.54998779296875,375.3999938964844,370.6000061035156,372.75,12960779,ICICIBANK,ICICIBANK.NS
2019-01-16,372.04998779296875,379.75,372.04998779296875,375.29998779296875,15106484,ICICIBANK,ICICIBANK.NS
2019-01-17,376.0,377.95001220703125,372.79998779296875,374.6000061035156,13171721,ICICIBANK,ICICIBANK.NS
2019-01-18,374.6000061035156,376.3999938964844,370.3500061035156,372.0,12212121,ICICIBANK,ICICIBANK.NS
2019-01-21,373.0,376.1499938964844,370.6000061035156,371.70001220703125,8908581,ICICIBANK,ICICIBANK.NS
2019-01-22,370.54998779296875,372.5,366.1000061035156,369.04998779296875,14756076,ICICIBANK,ICICIBANK.NS
2019-01-23,368.79998779296875,373.70001220703125,366.45001220703125,367.3999938964844,9726450,ICICIBANK,ICICIBANK.NS
2019-01-24,366.6000061035156,368.5,361.75,364.79998779296875,17521254,ICICIBANK,ICICIBANK.NS
2019-01-25,362.3500061035156,364.6499938964844,354.54998779296875,357.20001220703125,22978238,ICICIBANK,ICICIBANK.NS
2019-01-28,353.20001220703125,354.8999938964844,336.6499938964844,343.54998779296875,34362360,ICICIBANK,ICICIBANK.NS
2019-01-29,342.95001220703125,350.1000061035156,341.3500061035156,346.8500061035156,20738442,ICICIBANK,ICICIBANK.NS
2019-01-30,351.0,368.6000061035156,351.0,365.8999938964844,39400056,ICICIBANK,ICICIBANK.NS
2019-01-31,372.70001220703125,376.6499938964844,354.1000061035156,364.45001220703125,85917249,ICICIBANK,ICICIBANK.NS
2019-02-01,364.5,364.8999938964844,348.75,354.6499938964844,25605469,ICICIBANK,ICICIBANK.NS
2019-02-04,351.0,356.8999938964844,346.0,354.54998779296875,17039321,ICICIBANK,ICICIBANK.NS
2019-02-05,354.6000061035156,356.1000061035156,348.8500061035156,352.6499938964844,12197271,ICICIBANK,ICICIBANK.NS
2019-02-06,353.6000061035156,361.8999938964844,353.20001220703125,359.29998779296875,15396216,ICICIBANK,ICICIBANK.NS
2019-02-07,359.1000061035156,361.79998779296875,356.5,358.6499938964844,10247434,ICICIBANK,ICICIBANK.NS
2019-02-08,356.8999938964844,358.3999938964844,350.75,355.1000061035156,9308651,ICICIBANK,ICICIBANK.NS
2019-02-11,354.6000061035156,354.70001220703125,349.04998779296875,350.04998779296875,9419635,ICICIBANK,ICICIBANK.NS
2019-02-12,349.0,352.0,343.25,344.29998779296875,14924394,ICICIBANK,ICICIBANK.NS
2019-02-14,339.8500061035156,346.8500061035156,336.1499938964844,343.95001220703125,15172596,ICICIBANK,ICICIBANK.NS
2019-02-15,344.04998779296875,347.75,340.6000061035156,342.1499938964844,20316848,ICICIBANK,ICICIBANK.NS
2019-02-18,342.20001220703125,343.0,337.54998779296875,338.75,10601490,ICICIBANK,ICICIBANK.NS
2019-02-19,339.1000061035156,350.3999938964844,339.1000061035156,343.25,14384763,ICICIBANK,ICICIBANK.NS
2019-02-20,345.0,347.6000061035156,342.3500061035156,345.20001220703125,9474758,ICICIBANK,ICICIBANK.NS
2019-02-21,346.79998779296875,354.95001220703125,346.25,351.29998779296875,18631331,ICICIBANK,ICICIBANK.NS
2019-02-22,351.3999938964844,354.1000061035156,351.29998779296875,352.04998779296875,10997730,ICICIBANK,ICICIBANK.NS
2019-02-25,353.04998779296875,357.45001220703125,353.04998779296875,355.6000061035156,10344411,ICICIBANK,ICICIBANK.NS
2019-02-26,350.0,352.70001220703125,346.6000061035156,348.20001220703125,18096382,ICICIBANK,ICICIBANK.NS
2019-02-27,351.0,354.70001220703125,343.29998779296875,345.54998779296875,17325417,ICICIBANK,ICICIBANK.NS
2019-02-28,348.45001220703125,351.75,345.0,350.1499938964844,18347113,ICICIBANK,ICICIBANK.NS
2019-03-01,352.04998779296875,355.0,350.6499938964844,354.25,14190221,ICICIBANK,ICICIBANK.NS
2019-03-05,355.0,364.1499938964844,352.79998779296875,363.25,17638277,ICICIBANK,ICICIBANK.NS
2019-03-06,365.25,372.8500061035156,365.25,371.95001220703125,31436190,ICICIBANK,ICICIBANK.NS
2019-03-07,371.5,374.0,368.5,370.79998779296875,15355303,ICICIBANK,ICICIBANK.NS
2019-03-08,369.79998779296875,373.3999938964844,367.6499938964844,370.6000061035156,16143455,ICICIBANK,ICICIBANK.NS
2019-03-11,371.79998779296875,378.3999938964844,370.0,375.8500061035156,11449587,ICICIBANK,ICICIBANK.NS
2019-03-12,378.0,389.0,377.3500061035156,388.20001220703125,37108265,ICICIBANK,ICICIBANK.NS
2019-03-13,387.8999938964844,393.25,384.29998779296875,391.8999938964844,19574619,ICICIBANK,ICICIBANK.NS
2019-03-14,392.0,393.0,386.79998779296875,387.8999938964844,13182462,ICICIBANK,ICICIBANK.NS
2019-03-15,388.8500061035156,398.25,388.1000061035156,395.29998779296875,31466545,ICICIBANK,ICICIBANK.NS
2019-03-18,396.25,399.8999938964844,393.5,398.04998779296875,21220626,ICICIBANK,ICICIBANK.NS
2019-03-19,398.3999938964844,400.95001220703125,393.8999938964844,398.3999938964844,11670392,ICICIBANK,ICICIBANK.NS
2019-03-20,397.6000061035156,398.1499938964844,392.20001220703125,392.8999938964844,14181408,ICICIBANK,ICICIBANK.NS
2019-03-22,394.45001220703125,396.29998779296875,390.0,391.79998779296875,17409249,ICICIBANK,ICICIBANK.NS
