month,seed,starting_customers,new_customers,churned_customers,ending_customers,ad_spend,actual_cac,price,gross_revenue,cogs,fixed_cost,total_cost,operating_profit,cash_balance,ltv_estimate,churn_rate,market_difficulty,profitability_margin
3,3336,43,24,2,65,3000.0,120.98,79.0,5135.0,1430.0,8000.0,12430.0,-7295.0,30353.0,863.64,0.066,0.79,-0.8364
4,3336,65,24,4,85,3000.0,123.75,79.0,6715.0,1870.0,8000.0,12870.0,-6155.0,24198.0,863.64,0.066,0.79,-0.4698
5,3336,85,23,5,103,3000.0,130.27,79.0,8137.0,2266.0,8000.0,13266.0,-5129.0,19069.0,863.64,0.066,0.79,-0.2616
6,3336,103,20,6,117,3000.0,144.09,79.0,9243.0,2574.0,8000.0,13574.0,-4331.0,14738.0,863.64,0.066,0.79,-0.144
7,3336,117,37,7,147,5000.0,133.25,79.0,11613.0,3234.0,8000.0,16234.0,-4621.0,10117.0,863.64,0.066,0.79,0.0326
8,3336,147,34,9,172,5000.0,143.52,79.0,13588.0,3784.0,12000.0,20784.0,-7196.0,2921.0,863.64,0.066,0.79,-0.1616
9,3336,172,34,11,195,5000.0,146.95,79.0,15405.0,4290.0,12000.0,21290.0,-5885.0,-2964.0,863.64,0.066,0.79,-0.0574
10,3336,195,80,12,263,5000.0,62.37,79.0,20777.0,5786.0,12000.0,22786.0,-2009.0,-2009.0,863.64,0.066,0.79,0.144
11,3336,263,93,17,339,5000.0,53.6,79.0,26781.0,7458.0,15000.0,27458.0,-677.0,-2686.0,863.64,0.066,0.79,0.1614
12,3336,339,104,22,421,5000.0,47.82,79.0,33259.0,9262.0,15000.0,29262.0,3997.0,1311.0,863.64,0.066,0.79,0.2705
13,3336,421,102,27,496,5000.0,48.84,79.0,39184.0,10912.0,15000.0,30912.0,8272.0,9583.0,863.64,0.066,0.79,0.3387
14,3336,496,78,32,542,5000.0,63.55,79.0,42818.0,11924.0,15000.0,31924.0,10894.0,20477.0,863.64,0.066,0.79,0.3712
15,3336,542,96,35,603,5000.0,51.78,79.0,47637.0,13266.0,18000.0,36266.0,11371.0,31848.0,863.64,0.066,0.79,0.3437
16,3336,603,96,39,660,5000.0,51.96,79.0,52140.0,14520.0,18000.0,37520.0,14620.0,46468.0,863.64,0.066,0.79,0.3763
17,3336,660,84,43,701,5000.0,58.98,79.0,55379.0,15422.0,18000.0,38422.0,16957.0,63425.0,863.64,0.066,0.79,0.3965
18,3336,701,95,46,750,5000.0,52.19,79.0,59250.0,16500.0,18000.0,39500.0,19750.0,83175.0,863.64,0.066,0.79,0.4177
19,3336,750,108,49,809,6000.0,55.15,79.0,63911.0,17798.0,18000.0,41798.0,22113.0,105288.0,863.64,0.066,0.79,0.4399
20,3336,809,106,53,862,6000.0,56.56,79.0,68098.0,18964.0,18000.0,42964.0,25134.0,130422.0,863.64,0.066,0.79,0.4572
21,3336,862,111,56,917,6000.0,53.72,79.0,72443.0,20174.0,18000.0,44174.0,28269.0,158691.0,863.64,0.066,0.79,0.473
22,3336,917,115,60,972,6000.0,52.15,79.0,76788.0,21384.0,18000.0,45384.0,31404.0,190095.0,863.64,0.066,0.79,0.4871
23,3336,972,107,64,1015,6000.0,55.85,79.0,80185.0,22330.0,18000.0,46330.0,33855.0,223950.0,863.64,0.066,0.79,0.497
24,3336,1015,111,66,1060,6000.0,53.64,79.0,83740.0,23320.0,18000.0,47320.0,36420.0,260370.0,863.64,0.066,0.79,0.5066
25,3336,1060,105,69,1096,6000.0,56.69,79.0,86584.0,24112.0,18000.0,48112.0,38472.0,298842.0,863.64,0.066,0.79,0.5136
26,3336,1096,83,72,1107,6000.0,71.67,79.0,87453.0,24354.0,18000.0,48354.0,39099.0,337941.0,863.64,0.066,0.79,0.5157
27,3336,1107,106,73,1140,6000.0,56.13,79.0,90060.0,25080.0,18000.0,49080.0,40980.0,378921.0,863.64,0.066,0.79,0.5217
28,3336,1140,96,75,1161,6000.0,62.38,79.0,91719.0,25542.0,18000.0,49542.0,42177.0,421098.0,863.64,0.066,0.79,0.5253
29,3336,1161,102,76,1187,6000.0,58.5,79.0,93773.0,26114.0,18000.0,50114.0,43659.0,464757.0,863.64,0.066,0.79,0.5296
30,3336,1187,84,78,1193,6000.0,70.65,79.0,94247.0,26246.0,18000.0,50246.0,44001.0,508758.0,863.64,0.066,0.79,0.5305
31,3336,1193,93,78,1208,6000.0,64.08,79.0,95432.0,26576.0,18000.0,50576.0,44856.0,553614.0,863.64,0.066,0.79,0.5329
32,3336,1208,97,79,1226,6000.0,61.27,79.0,96854.0,26972.0,18000.0,50972.0,45882.0,599496.0,863.64,0.066,0.79,0.5357
33,3336,1226,86,80,1232,6000.0,69.71,79.0,97328.0,27104.0,18000.0,51104.0,46224.0,645720.0,863.64,0.066,0.79,0.5366
34,3336,1232,93,81,1244,6000.0,64.29,79.0,98276.0,27368.0,18000.0,51368.0,46908.0,692628.0,863.64,0.066,0.79,0.5384
35,3336,1244,79,82,1241,6000.0,75.44,79.0,98039.0,27302.0,18000.0,51302.0,46737.0,739365.0,863.64,0.066,0.79,0.5379
36,3336,1241,91,81,1251,6000.0,65.75,79.0,98829.0,27522.0,18000.0,51522.0,47307.0,786672.0,863.64,0.066,0.79,0.5394
1,3337,0,35,0,35,3000.0,83.98,79.0,2765.0,770.0,5000.0,8770.0,-6005.0,43995.0,863.64,0.066,0.68,-1.0868
2,3337,35,35,2,68,3000.0,84.18,79.0,5372.0,1496.0,8000.0,12496.0,-7124.0,36871.0,863.64,0.066,0.68,-0.7677
3,3337,68,31,4,95,3000.0,96.34,79.0,7505.0,2090.0,8000.0,13090.0,-5585.0,31286.0,863.64,0.066,0.68,-0.3444
4,3337,95,36,6,125,3000.0,82.6,79.0,9875.0,2750.0,8000.0,13750.0,-3875.0,27411.0,863.64,0.066,0.68,-0.0886
5,3337,125,35,8,152,3000.0,85.26,79.0,12008.0,3344.0,12000.0,18344.0,-6336.0,21075.0,863.64,0.066,0.68,-0.2778
6,3337,152,32,10,174,3000.0,91.38,79.0,13746.0,3828.0,12000.0,18828.0,-5082.0,15993.0,863.64,0.066,0.68,-0.1515
7,3337,174,50,11,213,5000.0,98.44,79.0,16827.0,4686.0,12000.0,21686.0,-4859.0,11134.0,863.64,0.066,0.68,0.0084
8,3337,213,59,14,258,5000.0,84.05,79.0,20382.0,5676.0,12000.0,22676.0,-2294.0,8840.0,863.64,0.066,0.68,0.1328
9,3337,258,51,17,292,5000.0,96.35,79.0,23068.0,6424.0,12000.0,23424.0,-356.0,8484.0,863.64,0.066,0.68,0.2013
10,3337,292,116,19,389,5000.0,42.89,79.0,30731.0,8558.0,15000.0,28558.0,2173.0,10657.0,863.64,0.066,0.68,0.2334
11,3337,389,110,25,474,5000.0,45.12,79.0,37446.0,10428.0,15000.0,30428.0,7018.0,17675.0,863.64,0.066,0.68,0.3209
12,3337,474,104,31,547,5000.0,47.76,79.0,43213.0,12034.0,15000.0,32034.0,11179.0,28854.0,863.64,0.066,0.68,0.3744
13,3337,547,103,36,614,5000.0,48.09,79.0,48506.0,13508.0,18000.0,36508.0,11998.0,40852.0,863.64,0.066,0.68,0.3504
14,3337,614,118,40,692,5000.0,42.14,79.0,54668.0,15224.0,18000.0,38224.0,16444.0,57296.0,863.64,0.066,0.68,0.3923
15,3337,692,105,45,752,5000.0,47.23,79.0,59408.0,16544.0,18000.0,39544.0,19864.0,77160.0,863.64,0.066,0.68,0.4185
16,3337,752,110,49,813,5000.0,45.2,79.0,64227.0,17886.0,18000.0,40886.0,23341.0,100501.0,863.64,0.066,0.68,0.4413
17,3337,813,89,53,849,5000.0,55.72,79.0,67071.0,18678.0,18000.0,41678.0,25393.0,125894.0,863.64,0.066,0.68,0.4531
18,3337,849,126,56,919,5000.0,39.52,79.0,72601.0,20218.0,18000.0,43218.0,29383.0,155277.0,863.64,0.066,0.68,0.4736
19,3337,919,120,60,979,6000.0,49.84,79.0,77341.0,21538.0,18000.0,45538.0,31803.0,187080.0,863.64,0.066,0.68,0.4888
20,3337,979,99,64,1014,6000.0,60.32,79.0,80106.0,22308.0,18000.0,46308.0,33798.0,220878.0,863.64,0.066,0.68,0.4968
21,3337,1014,141,66,1089,6000.0,42.4,79.0,86031.0,23958.0,18000.0,47958.0,38073.0,258951.0,863.64,0.066,0.68,0.5123
22,3337,1089,104,71,1122,6000.0,57.43,79.0,88638.0,24684.0,18000.0,48684.0,39954.0,298905.0,863.64,0.066,0.68,0.5184
23,3337,1122,97,74,1145,6000.0,61.43,79.0,90455.0,25190.0,18000.0,49190.0,41265.0,340170.0,863.64,0.066,0.68,0.5225
24,3337,1145,121,75,1191,6000.0,49.23,79.0,94089.0,26202.0,18000.0,50202.0,43887.0,384057.0,863.64,0.066,0.68,0.5302
25,3337,1191,129,78,1242,6000.0,46.16,79.0,98118.0,27324.0,18000.0,51324.0,46794.0,430851.0,863.64,0.066,0.68,0.5381
26,3337,1242,132,81,1293,6000.0,45.26,79.0,102147.0,28446.0,18000.0,52446.0,49701.0,480552.0,863.64,0.066,0.68,0.5453
27,3337,1293,103,85,1311,6000.0,58.24,79.0,103569.0,28842.0,18000.0,52842.0,50727.0,531279.0,863.64,0.066,0.68,0.5477
28,3337,1311,132,86,1357,6000.0,45.16,79.0,107203.0,29854.0,18000.0,53854.0,53349.0,584628.0,863.64,0.066,0.68,0.5536
29,3337,1357,96,89,1364,6000.0,61.99,79.0,107756.0,30008.0,18000.0,54008.0,53748.0,638376.0,863.64,0.066,0.68,0.5545
30,3337,1364,130,90,1404,6000.0,45.85,79.0,110916.0,30888.0,18000.0,54888.0,56028.0,694404.0,863.64,0.066,0.68,0.5592
31,3337,1404,103,92,1415,6000.0,57.75,79.0,111785.0,31130.0,18000.0,55130.0,56655.0,751059.0,863.64,0.066,0.68,0.5605
32,3337,1415,109,93,1431,6000.0,54.9,79.0,113049.0,31482.0,18000.0,55482.0,57567.0,808626.0,863.64,0.066,0.68,0.5623
33,3337,1431,107,94,1444,6000.0,56.02,79.0,114076.0,31768.0,18000.0,55768.0,58308.0,866934.0,863.64,0.066,0.68,0.5637
34,3337,1444,101,95,1450,6000.0,59.25,79.0,114550.0,31900.0,18000.0,55900.0,58650.0,925584.0,863.64,0.066,0.68,0.5644
35,3337,1450,118,95,1473,6000.0,50.72,79.0,116367.0,32406.0,18000.0,56406.0,59961.0,985545.0,863.64,0.066,0.68,0.5668
36,3337,1473,108,97,1484,6000.0,55.2,79.0,117236.0,32648.0,18000.0,56648.0,60588.0,1046133.0,863.64,0.066,0.68,0.568
1,4999,0,10,0,10,3000.0,297.62,79.0,790.0,220.0,5000.0,8220.0,-7430.0,42570.0,863.64,0.066,1.72,-5.6076
2,4999,10,9,0,19,3000.0,303.89,79.0,1501.0,418.0,5000.0,8418.0,-6917.0,35653.0,863.64,0.066,1.72,-2.6096
3,4999,19,9,1,27,3000.0,313.18,79.0,2133.0,594.0,5000.0,8594.0,-6461.0,29192.0,863.64,0.066,1.72,-1.6226
4,4999,27,9,1,35,3000.0,328.02,79.0,2765.0,770.0,5000.0,8770.0,-6005.0,23187.0,863.64,0.066,1.72,-1.0868
5,4999,35,9,2,42,3000.0,331.13,79.0,3318.0,924.0,5000.0,8924.0,-5606.0,17581.0,863.64,0.066,1.72,-0.7854
6,4999,42,9,2,49,3000.0,317.8,79.0,3871.0,1078.0,5000.0,9078.0,-5207.0,12374.0,863.64,0.066,1.72,-0.5701
7,4999,49,15,3,61,5000.0,326.34,79.0,4819.0,1342.0,8000.0,14342.0,-9523.0,2851.0,863.64,0.066,1.72,-0.9386
8,4999,61,15,4,72,5000.0,326.68,79.0,5688.0,1584.0,8000.0,14584.0,-8896.0,-6045.0,863.64,0.066,1.72,-0.685
9,4999,72,14,4,82,5000.0,340.76,79.0,6478.0,1804.0,8000.0,14804.0,-8326.0,-8326.0,863.64,0.066,1.72,-0.5134
10,4999,82,41,5,118,5000.0,120.82,79.0,9322.0,2596.0,8000.0,15596.0,-6274.0,-14600.0,863.64,0.066,1.72,-0.1367
11,4999,118,41,7,152,5000.0,119.62,79.0,12008.0,3344.0,12000.0,20344.0,-8336.0,-22936.0,863.64,0.066,1.72,-0.2778
12,4999,152,41,10,183,5000.0,120.05,79.0,14457.0,4026.0,12000.0,21026.0,-6569.0,-29505.0,863.64,0.066,1.72,-0.1085
13,4999,183,44,12,215,5000.0,112.21,79.0,16985.0,4730.0,12000.0,21730.0,-4745.0,-34250.0,863.64,0.066,1.72,0.015
14,4999,215,42,14,243,5000.0,117.64,79.0,19197.0,5346.0,12000.0,22346.0,-3149.0,-37399.0,863.64,0.066,1.72,0.0964
15,4999,243,40,16,267,5000.0,122.01,79.0,21093.0,5874.0,12000.0,22874.0,-1781.0,-39180.0,863.64,0.066,1.72,0.1526
16,4999,267,41,17,291,5000.0,120.23,79.0,22989.0,6402.0,12000.0,23402.0,-413.0,-39593.0,863.64,0.066,1.72,0.1995
17,4999,291,40,19,312,5000.0,122.43,79.0,24648.0,6864.0,15000.0,26864.0,-2216.0,-41809.0,863.64,0.066,1.72,0.113
18,4999,312,37,20,329,5000.0,133.9,79.0,25991.0,7238.0,15000.0,27238.0,-1247.0,-43056.0,863.64,0.066,1.72,0.1444
19,4999,329,48,21,356,6000.0,123.73,79.0,28124.0,7832.0,15000.0,28832.0,-708.0,-43764.0,863.64,0.066,1.72,0.1882
20,4999,356,44,23,377,6000.0,135.37,79.0,29783.0,8294.0,15000.0,29294.0,489.0,-43275.0,863.64,0.066,1.72,0.2179
21,4999,377,44,24,397,6000.0,133.97,79.0,31363.0,8734.0,15000.0,29734.0,1629.0,-41646.0,863.64,0.066,1.72,0.2432
22,4999,397,45,26,416,6000.0,131.54,79.0,32864.0,9152.0,15000.0,30152.0,2712.0,-38934.0,863.64,0.066,1.72,0.2651
23,4999,416,43,27,432,6000.0,137.91,79.0,34128.0,9504.0,15000.0,30504.0,3624.0,-35310.0,863.64,0.066,1.72,0.282
24,4999,432,44,28,448,6000.0,133.91,79.0,35392.0,9856.0,15000.0,30856.0,4536.0,-30774.0,863.64,0.066,1.72,0.2977
25,4999,448,47,29,466,6000.0,125.11,79.0,36814.0,10252.0,15000.0,31252.0,5562.0,-25212.0,863.64,0.066,1.72,0.3141
26,4999,466,45,30,481,6000.0,133.2,79.0,37999.0,10582.0,15000.0,31582.0,6417.0,-18795.0,863.64,0.066,1.72,0.3268
27,4999,481,43,31,493,6000.0,139.09,79.0,38947.0,10846.0,15000.0,31846.0,7101.0,-11694.0,863.64,0.066,1.72,0.3364
28,4999,493,40,32,501,6000.0,147.34,79.0,39579.0,11022.0,15000.0,32022.0,7557.0,-4137.0,863.64,0.066,1.72,0.3425
29,4999,501,45,33,513,6000.0,133.25,79.0,40527.0,11286.0,15000.0,32286.0,8241.0,4104.0,863.64,0.066,1.72,0.3514
30,4999,513,42,33,522,6000.0,141.47,79.0,41238.0,11484.0,15000.0,32484.0,8754.0,12858.0,863.64,0.066,1.72,0.3578
31,4999,522,43,34,531,6000.0,138.13,79.0,41949.0,11682.0,15000.0,32682.0,9267.0,22125.0,863.64,0.066,1.72,0.3639
32,4999,531,43,35,539,6000.0,136.7,79.0,42581.0,11858.0,15000.0,32858.0,9723.0,31848.0,863.64,0.066,1.72,0.3692
33,4999,539,39,35,543,6000.0,151.58,79.0,42897.0,11946.0,15000.0,32946.0,9951.0,41799.0,863.64,0.066,1.72,0.3718
34,4999,543,43,35,551,6000.0,137.44,79.0,43529.0,12122.0,15000.0,33122.0,10407.0,52206.0,863.64,0.066,1.72,0.3769
35,4999,551,39,36,554,6000.0,150.01,79.0,43766.0,12188.0,15000.0,33188.0,10578.0,62784.0,863.64,0.066,1.72,0.3788
36,4999,554,41,36,559,6000.0,145.77,79.0,44161.0,12298.0,15000.0,33298.0,10863.0,73647.0,863.64,0.066,1.72,0.3819
1,5000,0,42,0,42,3000.0,71.26,79.0,3318.0,924.0,5000.0,8924.0,-5606.0,44394.0,863.64,0.066,0.81,-0.7854
2,5000,42,51,2,91,3000.0,58.1,79.0,7189.0,2002.0,8000.0,13002.0,-5813.0,38581.0,863.64,0.066,0.81,-0.3913
3,5000,91,43,6,128,3000.0,68.47,79.0,10112.0,2816.0,8000.0,13816.0,-3704.0,34877.0,863.64,0.066,0.81,-0.0696
4,5000,128,49,8,169,3000.0,60.19,79.0,13351.0,3718.0,12000.0,18718.0,-5367.0,29510.0,863.64,0.066,0.81,-0.1773
5,5000,169,47,11,205,3000.0,63.37,79.0,16195.0,4510.0,12000.0,19510.0,-3315.0,26195.0,863.64,0.066,0.81,-0.0195
6,5000,205,49,13,241,3000.0,60.03,79.0,19039.0,5302.0,12000.0,20302.0,-1263.0,24932.0,863.64,0.066,0.81,0.0912
7,5000,241,82,15,308,5000.0,60.59,79.0,24332.0,6776.0,15000.0,26776.0,-2444.0,22488.0,863.64,0.066,0.81,0.105
8,5000,308,85,20,373,5000.0,58.61,79.0,29467.0,8206.0,15000.0,28206.0,1261.0,23749.0,863.64,0.066,0.81,0.2125
9,5000,373,68,24,417,5000.0,72.95,79.0,32943.0,9174.0,15000.0,29174.0,3769.0,27518.0,863.64,0.066,0.81,0.2662
10,5000,417,91,27,481,5000.0,54.92,79.0,37999.0,10582.0,15000.0,30582.0,7417.0,34935.0,863.64,0.066,0.81,0.3268
11,5000,481,95,31,545,5000.0,52.35,79.0,43055.0,11990.0,15000.0,31990.0,11065.0,46000.0,863.64,0.066,0.81,0.3731
12,5000,545,84,35,594,5000.0,58.87,79.0,46926.0,13068.0,15000.0,33068.0,13858.0,59858.0,863.64,0.066,0.81,0.4019
13,5000,594,101,39,656,5000.0,49.47,79.0,51824.0,14432.0,18000.0,37432.0,14392.0,74250.0,863.64,0.066,0.81,0.3742
14,5000,656,79,43,692,5000.0,63.14,79.0,54668.0,15224.0,18000.0,38224.0,16444.0,90694.0,863.64,0.066,0.81,0.3923
15,5000,692,86,45,733,5000.0,57.69,79.0,57907.0,16126.0,18000.0,39126.0,18781.0,109475.0,863.64,0.066,0.81,0.4107
16,5000,733,97,48,782,5000.0,51.5,79.0,61778.0,17204.0,18000.0,40204.0,21574.0,131049.0,863.64,0.066,0.81,0.4302
17,5000,782,74,51,805,5000.0,67.4,79.0,63595.0,17710.0,18000.0,40710.0,22885.0,153934.0,863.64,0.066,0.81,0.4385
18,5000,805,101,53,853,5000.0,49.11,79.0,67387.0,18766.0,18000.0,41766.0,25621.0,179555.0,863.64,0.066,0.81,0.4544
19,5000,853,98,56,895,6000.0,60.69,79.0,70705.0,19690.0,18000.0,43690.0,27015.0,206570.0,863.64,0.066,0.81,0.4669
20,5000,895,107,59,943,6000.0,55.57,79.0,74497.0,20746.0,18000.0,44746.0,29751.0,236321.0,863.64,0.066,0.81,0.4799
21,5000,943,114,62,995,6000.0,52.2,79.0,78605.0,21890.0,18000.0,45890.0,32715.0,269036.0,863.64,0.066,0.81,0.4925
22,5000,995,107,65,1037,6000.0,55.72,79.0,81923.0,22814.0,18000.0,46814.0,35109.0,304145.0,863.64,0.066,0.81,0.5018
23,5000,1037,104,68,1073,6000.0,57.42,79.0,84767.0,23606.0,18000.0,47606.0,37161.0,341306.0,863.64,0.066,0.81,0.5092
24,5000,1073,84,70,1087,6000.0,71.39,79.0,85873.0,23914.0,18000.0,47914.0,37959.0,379265.0,863.64,0.066,0.81,0.5119
25,5000,1087,113,71,1129,6000.0,52.99,79.0,89191.0,24838.0,18000.0,48838.0,40353.0,419618.0,863.64,0.066,0.81,0.5197
26,5000,1129,85,74,1140,6000.0,70.45,79.0,90060.0,25080.0,18000.0,49080.0,40980.0,460598.0,863.64,0.066,0.81,0.5217
27,5000,1140,107,75,1172,6000.0,55.73,79.0,92588.0,25784.0,18000.0,49784.0,42804.0,503402.0,863.64,0.066,0.81,0.5271
28,5000,1172,97,77,1192,6000.0,61.78,79.0,94168.0,26224.0,18000.0,50224.0,43944.0,547346.0,863.64,0.066,0.81,0.5304
29,5000,1192,106,78,1220,6000.0,56.55,79.0,96380.0,26840.0,18000.0,50840.0,45540.0,592886.0,863.64,0.066,0.81,0.5348
30,5000,1220,83,80,1223,6000.0,71.94,79.0,96617.0,26906.0,18000.0,50906.0,45711.0,638597.0,863.64,0.066,0.81,0.5352
31,5000,1223,84,80,1227,6000.0,71.32,79.0,96933.0,26994.0,18000.0,50994.0,45939.0,684536.0,863.64,0.066,0.81,0.5358
32,5000,1227,87,80,1234,6000.0,68.27,79.0,97486.0,27148.0,18000.0,51148.0,46338.0,730874.0,863.64,0.066,0.81,0.5369
33,5000,1234,96,81,1249,6000.0,61.87,79.0,98671.0,27478.0,18000.0,51478.0,47193.0,778067.0,863.64,0.066,0.81,0.5391
34,5000,1249,84,82,1251,6000.0,71.31,79.0,98829.0,27522.0,18000.0,51522.0,47307.0,825374.0,863.64,0.066,0.81,0.5394
35,5000,1251,82,82,1251,6000.0,72.55,79.0,98829.0,27522.0,18000.0,51522.0,47307.0,872681.0,863.64,0.066,0.81,0.5394
36,5000,1251,91,82,1260,6000.0,65.32,79.0,99540.0,27720.0,18000.0,51720.0,47820.0,920501.0,863.64,0.066,0.81,0.5407
1,5001,0,20,0,20,3000.0,149.27,79.0,1580.0,440.0,5000.0,8440.0,-6860.0,43140.0,863.64,0.066,1.68,-2.443
2,5001,20,21,1,40,3000.0,138.75,79.0,3160.0,880.0,5000.0,8880.0,-5720.0,37420.0,863.64,0.066,1.68,-0.8608
3,5001,40,20,2,58,3000.0,145.24,79.0,4582.0,1276.0,8000.0,12276.0,-7694.0,29726.0,863.64,0.066,1.68,-1.0244
4,5001,58,19,3,74,3000.0,150.75,79.0,5846.0,1628.0,8000.0,12628.0,-6782.0,22944.0,863.64,0.066,1.68,-0.6469
5,5001,74,20,4,90,3000.0,144.54,79.0,7110.0,1980.0,8000.0,12980.0,-5870.0,17074.0,863.64,0.066,1.68,-0.4037
6,5001,90,20,5,105,3000.0,145.05,79.0,8295.0,2310.0,8000.0,13310.0,-5015.0,12059.0,863.64,0.066,1.68,-0.2429
7,5001,105,31,6,130,5000.0,159.63,79.0,10270.0,2860.0,8000.0,15860.0,-5590.0,6469.0,863.64,0.066,1.68,-0.0574
8,5001,130,29,8,151,5000.0,166.87,79.0,11929.0,3322.0,12000.0,20322.0,-8393.0,-1924.0,863.64,0.066,1.68,-0.2844
9,5001,151,30,9,172,5000.0,163.04,79.0,13588.0,3784.0,12000.0,20784.0,-7196.0,-7196.0,863.64,0.066,1.68,-0.1616
10,5001,172,43,11,204,5000.0,116.02,79.0,16116.0,4488.0,12000.0,21488.0,-5372.0,-12568.0,863.64,0.066,1.68,-0.0231
11,5001,204,43,13,234,5000.0,115.53,79.0,18486.0,5148.0,12000.0,22148.0,-3662.0,-16230.0,863.64,0.066,1.68,0.0724
12,5001,234,42,15,261,5000.0,118.23,79.0,20619.0,5742.0,12000.0,22742.0,-2123.0,-18353.0,863.64,0.066,1.68,0.1395
13,5001,261,44,17,288,5000.0,113.34,79.0,22752.0,6336.0,12000.0,23336.0,-584.0,-18937.0,863.64,0.066,1.68,0.1941
14,5001,288,39,19,308,5000.0,126.58,79.0,24332.0,6776.0,15000.0,26776.0,-2444.0,-21381.0,863.64,0.066,1.68,0.105
15,5001,308,39,20,327,5000.0,125.93,79.0,25833.0,7194.0,15000.0,27194.0,-1361.0,-22742.0,863.64,0.066,1.68,0.1409
16,5001,327,41,21,347,5000.0,120.81,79.0,27413.0,7634.0,15000.0,27634.0,-221.0,-22963.0,863.64,0.066,1.68,0.1743
17,5001,347,39,22,364,5000.0,127.17,79.0,28756.0,8008.0,15000.0,28008.0,748.0,-22215.0,863.64,0.066,1.68,0.1999
18,5001,364,42,24,382,5000.0,116.29,79.0,30178.0,8404.0,15000.0,28404.0,1774.0,-20441.0,863.64,0.066,1.68,0.2245
19,5001,382,47,25,404,6000.0,127.15,79.0,31916.0,8888.0,15000.0,29888.0,2028.0,-18413.0,863.64,0.066,1.68,0.2515
20,5001,404,51,26,429,6000.0,115.75,79.0,33891.0,9438.0,15000.0,30438.0,3453.0,-14960.0,863.64,0.066,1.68,0.2789
21,5001,429,48,28,449,6000.0,124.65,79.0,35471.0,9878.0,15000.0,30878.0,4593.0,-10367.0,863.64,0.066,1.68,0.2986
22,5001,449,48,29,468,6000.0,123.56,79.0,36972.0,10296.0,15000.0,31296.0,5676.0,-4691.0,863.64,0.066,1.68,0.3158
23,5001,468,46,30,484,6000.0,129.24,79.0,38236.0,10648.0,15000.0,31648.0,6588.0,1897.0,863.64,0.066,1.68,0.3292
24,5001,484,47,31,500,6000.0,126.03,79.0,39500.0,11000.0,15000.0,32000.0,7500.0,9397.0,863.64,0.066,1.68,0.3418
25,5001,500,44,33,511,6000.0,135.87,79.0,40369.0,11242.0,15000.0,32242.0,8127.0,17524.0,863.64,0.066,1.68,0.3499
26,5001,511,45,33,523,6000.0,131.88,79.0,41317.0,11506.0,15000.0,32506.0,8811.0,26335.0,863.64,0.066,1.68,0.3585
27,5001,523,42,34,531,6000.0,140.83,79.0,41949.0,11682.0,15000.0,32682.0,9267.0,35602.0,863.64,0.066,1.68,0.3639
28,5001,531,45,35,541,6000.0,132.19,79.0,42739.0,11902.0,15000.0,32902.0,9837.0,45439.0,863.64,0.066,1.68,0.3706
29,5001,541,46,35,552,6000.0,128.02,79.0,43608.0,12144.0,15000.0,33144.0,10464.0,55903.0,863.64,0.066,1.68,0.3775
30,5001,552,43,36,559,6000.0,136.7,79.0,44161.0,12298.0,15000.0,33298.0,10863.0,66766.0,863.64,0.066,1.68,0.3819
31,5001,559,44,36,567,6000.0,133.43,79.0,44793.0,12474.0,15000.0,33474.0,11319.0,78085.0,863.64,0.066,1.68,0.3866
32,5001,567,42,37,572,6000.0,139.84,79.0,45188.0,12584.0,15000.0,33584.0,11604.0,89689.0,863.64,0.066,1.68,0.3896
33,5001,572,45,37,580,6000.0,131.6,79.0,45820.0,12760.0,15000.0,33760.0,12060.0,101749.0,863.64,0.066,1.68,0.3942
34,5001,580,41,38,583,6000.0,144.14,79.0,46057.0,12826.0,15000.0,33826.0,12231.0,113980.0,863.64,0.066,1.68,0.3958
35,5001,583,42,38,587,6000.0,142.24,79.0,46373.0,12914.0,15000.0,33914.0,12459.0,126439.0,863.64,0.066,1.68,0.3981
36,5001,587,40,38,589,6000.0,147.89,79.0,46531.0,12958.0,15000.0,33958.0,12573.0,139012.0,863.64,0.066,1.68,0.3992
1,5002,0,21,0,21,3000.0,137.45,79.0,1659.0,462.0,5000.0,8462.0,-6803.0,43197.0,863.64,0.066,1.86,-2.2923
2,5002,21,21,1,41,3000.0,138.28,79.0,3239.0,902.0,5000.0,8902.0,-5663.0,37534.0,863.64,0.066,1.86,-0.8222
3,5002,41,19,2,58,3000.0,152.99,79.0,4582.0,1276.0,8000.0,12276.0,-7694.0,29840.0,863.64,0.066,1.86,-1.0244
4,5002,58,21,3,76,3000.0,139.9,79.0,6004.0,1672.0,8000.0,12672.0,-6668.0,23172.0,863.64,0.066,1.86,-0.6109
5,5002,76,20,5,91,3000.0,143.88,79.0,7189.0,2002.0,8000.0,13002.0,-5813.0,17359.0,863.64,0.066,1.86,-0.3913
6,5002,91,19,6,104,3000.0,155.57,79.0,8216.0,2288.0,8000.0,13288.0,-5072.0,12287.0,863.64,0.066,1.86,-0.2522
7,5002,104,31,6,129,5000.0,156.51,79.0,10191.0,2838.0,8000.0,15838.0,-5647.0,6640.0,863.64,0.066,1.86,-0.0635
8,5002,129,30,8,151,5000.0,162.11,79.0,11929.0,3322.0,12000.0,20322.0,-8393.0,-1753.0,863.64,0.066,1.86,-0.2844
9,5002,151,33,9,175,5000.0,148.41,79.0,13825.0,3850.0,12000.0,20850.0,-7025.0,-7025.0,863.64,0.066,1.86,-0.1465
