date,A_equal_pnl,B_trust_pnl,P_random_pnl,A_equal_costed_pnl,B_trust_costed_pnl,P_random_costed_pnl
2025-04-22,211.066492,211.522447,240.071312,53.785021,-145.779273,-118.740538
2025-04-23,4.826006,4.464331,19.751315,-152.446017,-352.892398,-341.272133
2025-04-24,-2.157011,-2.215527,1.274082,-264.946504,-364.982455,-364.034649
2025-04-25,-149.374256,-148.158576,-173.296077,-412.168749,-460.918126,-482.252988
2025-04-28,0.929194,2.328102,3.945577,-260.028458,-358.615727,-355.603277
2025-04-29,-17.058709,-16.982803,-25.800419,-388.924396,-388.95253,-396.12839
2025-04-30,-7.247651,-6.8977,-3.319978,-323.640486,-323.383373,-321.081768
2025-05-02,25.955561,26.796679,32.994308,-238.698993,-337.787331,-331.793938
2025-05-05,-5.751683,-5.97989,9.85727,-163.061376,-363.293256,-351.514565
2025-05-06,9.11134,9.309178,14.379272,-151.843812,-301.628255,-301.783974
2025-05-07,-8.576578,-8.593122,5.094409,-321.365085,-371.440618,-361.788291
2025-05-08,50.213254,48.429084,49.284612,-1.597865,-303.396063,-310.98193
2025-05-09,991.946643,995.064772,1084.788813,725.472195,628.648605,715.419442
2025-05-12,-363.427081,-365.24852,-365.053013,-517.222246,-718.998038,-721.728285
2025-05-13,31.294719,32.348315,40.351474,-351.677773,-350.634286,-343.126316
2025-05-14,64.657356,65.511208,117.874953,-305.396347,-304.571182,-251.473739
2025-05-15,-75.014101,-74.83655,-71.672709,-337.824193,-437.784194,-435.159751
2025-05-16,-135.207775,-135.957335,-121.436299,-296.179201,-496.962491,-483.078196
2025-05-19,36.949765,36.587755,90.907128,-172.156599,-322.597929,-267.853846
2025-05-20,26.510556,27.091022,19.130866,-238.103829,-337.524054,-343.673824
2025-05-21,-144.163503,-145.310966,-135.312557,-458.835293,-509.968108,-502.65692
2025-05-22,-55.99591,-54.509715,-76.982126,-429.802286,-428.361659,-452.927122
2025-05-23,41.594602,42.784611,39.598944,-273.042018,-321.948605,-327.239639
2025-05-26,117.574141,116.694275,132.957489,-204.289046,-255.310853,-240.332101
2025-05-27,13.597293,13.705907,14.209547,-140.08235,-139.96142,-140.959447
2025-05-28,67.666222,67.916,67.894692,-318.883203,-318.684118,-319.30704
2025-05-29,-48.077359,-47.925428,-39.216737,-257.276297,-407.055895,-397.485198
2025-05-30,-32.399758,-32.757409,-34.372529,-293.391905,-393.728696,-395.429073
2025-06-02,-148.542784,-148.934505,-147.225557,-407.917124,-508.327092,-505.261316
2025-06-03,7.621328,8.328905,2.09179,-151.759959,-350.980008,-357.608929
2025-06-04,89.133106,90.305233,100.862665,-120.212052,-269.073867,-262.385649
2025-06-05,-35.375067,-33.968503,-58.929949,-357.324867,-405.891534,-437.038541
2025-06-06,77.659066,78.573791,66.464896,-179.807255,-278.99043,-295.342136
2025-06-09,-26.308942,-24.899541,-43.758188,-289.109708,-387.675217,-408.687726
2025-06-10,-54.328895,-53.485368,-55.759242,-317.096992,-416.373754,-420.203109
2025-06-11,-146.36091,-147.470649,-149.484165,-362.800862,-513.867977,-515.913412
2025-06-12,-86.025656,-87.192309,-89.664081,-245.19291,-446.282447,-448.042804
2025-06-13,216.260561,217.087733,180.521009,58.742797,-140.394261,-176.840718
2025-06-16,-6.553231,-6.673763,-17.212447,-112.243602,-362.261603,-376.478557
2025-06-17,46.000067,44.808882,54.727737,-329.599518,-330.877938,-318.347713
2025-06-18,-10.144375,-10.868303,-2.352976,-328.42482,-379.305685,-373.737135
2025-06-19,149.247681,152.192244,94.819742,-6.271302,-203.305008,-267.660077
2025-06-20,-160.676159,-162.606865,-127.620418,-367.984338,-519.790977,-490.308402
2025-06-23,14.43791,14.089862,0.747901,-248.391078,-348.6871,-362.503192
2025-06-24,175.292929,176.736888,185.305958,-87.554954,-186.045064,-184.389551
2025-06-25,172.695944,172.814964,144.093295,-90.180136,-189.964762,-221.858999
2025-06-26,-45.700932,-44.26152,-57.987608,-419.521876,-417.791577,-429.1818
2025-06-27,-83.201358,-83.752153,-99.828026,-406.921266,-457.303531,-477.602597
2025-06-30,4.866143,5.505556,-20.406197,-204.313059,-353.52301,-384.60341
2025-07-01,-56.251015,-57.432817,-36.854766,-265.404496,-416.472479,-396.656639
2025-07-02,-54.226206,-54.425434,-53.690439,-322.522734,-422.724529,-420.466549
2025-07-03,117.440569,118.167223,112.338993,-93.470952,-242.802491,-245.655004
2025-07-04,13.793314,14.085378,33.09428,-247.18256,-346.818978,-334.432851
2025-07-07,-27.05532,-26.339487,-34.004176,-397.182727,-396.404002,-405.832942
2025-07-08,48.795717,48.054206,32.273026,-212.161935,-262.90279,-284.495677
2025-07-09,59.043175,58.654796,55.289254,-311.023341,-311.500904,-320.325166
2025-07-10,-90.804083,-93.573258,-86.292814,-403.947866,-456.708817,-445.412313
2025-07-11,-132.370937,-132.582812,-131.025651,-399.01646,-499.128155,-501.347893
2025-07-14,129.753989,129.720254,125.530798,-125.895251,-225.921007,-231.908145
2025-07-15,39.261792,39.191075,32.346996,-160.935005,-311.065224,-322.646731
2025-07-16,44.279004,43.023208,45.534617,-335.228704,-336.462224,-333.184742
2025-07-17,-76.162811,-76.216508,-56.960311,-451.727901,-451.850246,-432.27572
2025-07-18,47.597175,48.267184,61.464544,-213.738951,-313.085744,-301.591201
2025-07-21,-47.732195,-47.818286,-36.066274,-253.2694,-403.281167,-393.12763
2025-07-22,69.736925,70.160679,82.801413,-243.551563,-293.095766,-277.176751
2025-07-23,-138.328834,-137.836837,-147.026374,-399.450927,-498.984676,-512.168731
2025-07-24,-32.962649,-33.426147,-21.053315,-249.763839,-350.143704,-341.508986
2025-07-25,-106.974846,-106.562346,-110.604055,-430.779396,-480.290031,-487.464896
2025-07-28,17.031766,16.787242,-22.480096,-188.502938,-338.658021,-383.171936
2025-07-29,-1.560408,-1.69726,-14.118953,-208.893322,-359.004845,-379.266155
2025-07-30,-15.692876,-15.993452,-4.859718,-226.67125,-376.922187,-370.487764
2025-07-31,-64.252013,-65.004026,-106.190307,-327.041505,-427.755056,-469.937967
2025-08-01,85.856885,86.491557,76.515122,-182.454403,-281.748368,-291.514605
2025-08-04,-107.963753,-109.188836,-126.009572,-318.962848,-470.098361,-487.391859
2025-08-05,-42.890585,-43.23148,-37.517241,-253.83629,-404.236526,-406.646059
2025-08-06,19.050894,19.084424,23.418731,-297.400332,-347.347841,-344.360948
2025-08-07,-66.508886,-66.924483,-25.375352,-329.300205,-429.763875,-395.095001
2025-08-08,20.31017,20.656177,16.451529,-240.623587,-340.384695,-346.189004
2025-08-11,-44.136217,-44.556861,-48.676572,-203.28275,-403.698791,-412.555461
2025-08-12,-10.972883,-10.653923,-16.86297,-377.628719,-377.254299,-389.6643
2025-08-13,49.321158,49.325471,43.899727,-210.001763,-309.969591,-321.095821
2025-08-14,-51.910027,-50.908252,-41.732927,-259.231667,-408.177273,-400.691091
2025-08-18,83.068032,83.824273,17.500068,-127.912842,-227.117604,-298.140255
2025-08-19,158.568835,160.056359,192.068494,-48.752132,-147.294042,-115.753596
2025-08-20,-34.604845,-34.357259,-24.330014,-299.196008,-398.985709,-387.725311
2025-08-21,-71.13778,-72.532838,-138.862743,-387.767895,-439.121493,-504.499862
2025-08-22,12.282393,13.48865,-54.043784,-197.005359,-345.864763,-425.803977
2025-08-25,0.954831,0.428616,-42.080793,-211.841487,-362.444172,-407.348186
2025-08-26,-45.663557,-47.697362,-60.415122,-252.987023,-405.07697,-418.127519
2025-08-28,-151.380058,-150.514103,-161.452943,-417.887174,-516.875567,-529.309453
2025-08-29,64.474023,64.171337,92.619646,-198.349964,-298.719281,-265.556222
2025-09-01,-16.337583,-16.804674,-27.054678,-327.359899,-377.733836,-384.726197
2025-09-02,-2.777861,-3.173534,20.150205,-328.363673,-378.784172,-356.108034
2025-09-03,82.502506,82.68229,94.618239,-237.599179,-287.377555,-279.932513
2025-09-04,-56.295241,-56.692155,-67.440663,-369.090885,-419.627001,-441.094312
2025-09-05,-31.507034,-31.606843,-37.787113,-346.161589,-396.182165,-398.523914
2025-09-08,248.332765,248.351902,246.896773,-69.938353,-119.942606,-122.071956
2025-09-09,98.459572,99.268627,121.423402,-108.857068,-208.083887,-189.754538
2025-09-10,1.328274,1.786367,5.547339,-265.104057,-364.739254,-365.987702
2025-09-11,37.915749,38.634429,13.685738,-163.939866,-313.23143,-341.875194
2025-09-12,-25.639109,-26.106954,-30.472886,-336.57604,-387.057684,-395.353955
2025-09-15,-77.506315,-77.24795,-81.955236,-395.928653,-445.745668,-451.622714
2025-09-16,19.260716,19.57922,14.179873,-141.850104,-291.517774,-298.547299
2025-09-17,55.646673,55.757351,33.811161,-205.466646,-255.335336,-281.678156
2025-09-18,-16.806738,-16.64146,-20.091869,-333.399183,-383.272653,-388.536358
2025-09-19,-97.678166,-99.4554,-82.558162,-408.948113,-460.743623,-444.246466
2025-09-22,-51.792715,-51.847928,-50.857111,-366.920831,-417.039306,-415.55042
2025-09-23,-41.156639,-40.834187,-54.196996,-359.681286,-409.393907,-419.28477
2025-09-24,-116.565836,-116.803069,-104.850078,-273.794502,-474.091253,-466.172581
2025-09-25,-156.421632,-157.829829,-168.553768,-413.87603,-515.258956,-526.429168
2025-09-26,-31.342181,-31.236897,-29.938954,-292.384907,-392.173504,-388.561915
2025-09-29,6.763818,6.685141,-11.724373,-250.926849,-351.047291,-368.763938
2025-09-30,246.148231,246.222654,240.687426,-66.697992,-116.685667,-120.585116
2025-10-01,-19.407268,-19.529661,-25.683498,-224.923077,-375.116835,-386.166856
2025-10-03,147.576689,148.975574,93.294746,-7.931333,-206.463751,-263.571986
2025-10-06,26.330439,26.506074,32.007723,-286.67061,-336.365226,-332.760206
2025-10-07,-139.46842,-138.715249,-146.297276,-465.216846,-514.402313,-523.630216
2025-10-08,20.568428,21.288842,10.595829,-301.371924,-350.653338,-358.900698
2025-10-09,15.52959,15.283239,7.941186,-297.28745,-347.568386,-353.724096
2025-10-10,13.504391,12.201508,-8.712251,-191.996683,-343.292934,-373.876508
2025-10-13,-53.954384,-54.129326,-54.407272,-270.533054,-420.720458,-421.482999
2025-10-14,29.571305,29.79593,36.597776,-346.156399,-345.874677,-341.111153
2025-10-15,80.137881,81.609704,26.194606,-23.694929,-272.212049,-332.877067
2025-10-16,-23.101942,-23.253952,1.230905,-232.433325,-382.550799,-365.742587
2025-10-17,48.177576,48.493449,85.377692,-266.439309,-316.119572,-283.610217
2025-10-20,26.669455,26.677659,8.853475,-130.70459,-330.609115,-353.595955
2025-10-21,-206.844761,-205.423215,-254.303592,-473.349065,-571.762612,-625.130623
2025-10-23,-25.522247,-26.327663,-14.478457,-391.962511,-392.711184,-382.934518
2025-10-24,89.777765,90.481539,131.245472,-282.540221,-281.705298,-249.163971
2025-10-27,10.313039,10.225356,1.540271,-199.025292,-349.020547,-359.417378
2025-10-28,39.715511,40.621234,31.97307,-167.762757,-316.819027,-335.353386
2025-10-29,-157.203687,-158.013847,-154.344691,-421.884924,-522.596863,-518.117978
2025-10-30,28.830744,28.182779,24.230036,-341.297624,-341.902728,-343.421297
2025-10-31,17.2776,17.08737,6.47697,-247.313564,-347.533061,-355.244418
2025-11-03,-100.456065,-101.899269,-100.287964,-408.168127,-459.511828,-460.150122
2025-11-04,-11.893193,-12.131157,-9.089914,-275.057697,-375.276071,-374.34403
2025-11-06,26.629426,27.077161,17.140042,-234.715186,-334.186625,-346.111728
2025-11-07,60.45366,61.425702,67.391742,-245.424061,-294.385148,-289.832351
2025-11-10,15.778965,16.620859,-12.57867,-245.224144,-344.392045,-381.015004
2025-11-11,-68.793208,-67.996553,-49.423033,-383.446102,-432.756365,-418.033745
2025-11-12,-79.152716,-79.465317,-82.81128,-345.570598,-396.064902,-399.605209
2025-11-13,-31.715496,-32.180263,-64.10646,-296.283438,-396.817048,-432.836283
2025-11-14,54.96243,55.504248,30.902125,-254.22706,-303.697748,-324.980445
2025-11-17,-82.679184,-82.999066,-96.264412,-290.130095,-440.524361,-458.481518
2025-11-18,-59.606429,-58.464843,-44.8185,-381.692136,-430.594476,-419.34041
2025-11-19,94.352022,95.26015,40.871266,-170.470123,-269.532006,-323.483762
2025-11-20,7.642401,6.94696,-0.853219,-303.582554,-354.301783,-366.99106
2025-11-21,-0.370667,-0.620415,3.568889,-261.379738,-361.686985,-358.410283
2025-11-24,-26.596771,-26.754426,-16.678429,-343.433971,-393.717558,-382.710285
2025-11-25,257.967737,258.672046,243.432587,150.637323,-98.637691,-118.889145
2025-11-26,16.412894,16.101774,13.873049,-87.255786,-337.529466,-345.950523
2025-11-27,18.555576,18.766351,14.320655,-359.20228,-358.977476,-355.524443
2025-11-28,-6.988919,-7.445648,2.175354,-275.241816,-375.7544,-366.52223
2025-12-01,-71.857468,-73.18846,-97.543672,-382.858751,-434.102263,-464.907216
2025-12-02,60.305843,61.455351,59.552257,-145.182443,-294.004105,-299.004402
2025-12-03,44.808201,45.347288,36.717389,-110.687872,-310.15422,-325.321464
2025-12-04,75.78594,76.46087,87.524539,-127.892741,-277.281008,-270.167843
2025-12-05,-53.886949,-54.270206,-46.775814,-157.546182,-407.961377,-405.185604
2025-12-08,17.121357,16.452839,7.775872,-304.793273,-355.52656,-364.347162
2025-12-09,-23.089554,-23.735739,-20.132379,-343.179292,-393.839053,-391.571021
2025-12-10,71.048016,71.528818,82.702252,-34.450558,-283.966522,-276.482839
2025-12-11,38.208702,38.85952,28.4272,-167.134205,-316.486096,-332.218077
2025-12-12,27.388081,27.750243,15.632077,-289.284678,-339.001586,-352.515992
2025-12-15,108.160615,107.713996,79.515994,-208.206499,-208.784237,-235.362592
2025-12-16,-16.907553,-17.287566,2.633689,-283.314162,-383.8405,-371.714776
2025-12-17,63.653529,64.478669,87.79814,-254.668721,-303.800427,-285.891253
2025-12-18,49.610976,50.595834,26.875729,-105.928729,-304.876963,-339.433675
2025-12-19,77.262935,79.263635,154.951814,-131.894871,-279.917059,-215.259735
2025-12-22,-54.906909,-54.864882,-57.142746,-371.404577,-421.276819,-422.315512
2025-12-23,-4.047365,-4.47951,2.544186,-168.696919,-369.024225,-363.66687
2025-12-24,-63.784565,-64.818216,-66.660824,-378.439119,-429.385606,-431.916495
2025-12-26,-66.244157,-67.248776,-55.431217,-218.141863,-419.124819,-413.271299
2025-12-29,-29.09531,-29.458889,-34.58783,-130.944098,-381.360626,-392.91581
2025-12-30,50.127941,50.357431,24.149299,-105.521299,-305.295003,-332.101906
2025-12-31,28.785978,28.530874,45.721579,-174.914385,-325.238099,-314.834058
2026-01-01,2.091395,2.801328,39.196587,-316.414191,-365.570379,-327.042156
2026-01-02,136.590431,136.828926,142.735548,-128.189909,-228.086544,-223.010874
2026-01-05,-62.748547,-64.693477,-220.429075,-323.900496,-325.766415,-488.198581
2026-01-06,-34.733601,-33.695344,-35.01065,-406.876039,-405.936418,-406.353855
2026-01-07,-95.523893,-93.832391,-140.670024,-354.821093,-453.216947,-498.423344
2026-01-08,-144.300481,-144.752453,-168.673315,-357.120512,-507.470437,-534.133796
2026-01-09,34.012992,33.692496,28.413436,-238.137748,-338.429638,-347.171297
2026-01-12,165.288803,165.593273,177.862707,6.135322,-193.47704,-182.316467
2026-01-13,44.529847,43.489488,26.535505,-168.479665,-269.388098,-287.084164
2026-01-14,20.620276,20.830779,6.173702,-194.015504,-343.68248,-363.038227
2026-01-15,180.761155,182.548716,64.820646,-79.181546,-77.449745,-203.897291
2026-01-16,-95.385735,-97.930004,-86.408595,-412.670798,-465.182373,-460.55801
2026-01-19,-92.951685,-92.768172,-79.945807,-403.941332,-453.743644,-442.296128
2026-01-20,-112.185363,-112.533374,-115.916162,-419.863241,-470.130599,-478.8032
2026-01-21,68.704015,69.015746,59.838765,-244.130261,-293.914586,-305.442151
2026-01-22,-96.145089,-95.797679,-77.897617,-203.449781,-453.105083,-439.735567
2026-01-23,69.035796,69.001047,65.372854,-38.271397,-238.309093,-245.271106
2026-01-27,47.710871,47.798856,35.915939,-107.773255,-207.749225,-221.346292
2026-01-28,-9.347762,-9.326263,5.136907,-277.762599,-377.830309,-364.606293
2026-01-29,70.435986,69.925855,46.734447,-260.785292,-311.278049,-337.482343
2026-01-30,-87.830249,-86.812262,-45.938385,-357.903712,-456.865095,-415.227935
2026-02-02,241.426501,243.244557,327.987663,34.095413,-114.071166,-36.75299
2026-02-03,186.381134,185.881944,212.435167,-22.751625,-173.304145,-150.931261
2026-02-04,4.851075,4.617176,-4.835386,-309.803175,-360.087822,-373.247462
2026-02-05,-111.485146,-111.493579,-109.770347,-486.963571,-487.084515,-485.24299
2026-02-06,58.380455,58.846382,75.105076,-270.778968,-270.345725,-254.731164
2026-02-09,18.993482,19.285644,32.085465,-301.096255,-350.839524,-342.579183
2026-02-10,-154.057559,-154.769173,-149.295066,-416.814382,-517.57491,-512.336525
2026-02-11,-18.998243,-18.15678,1.306441,-289.062258,-388.269427,-365.856474
2026-02-12,-16.337232,-16.818628,-23.705169,-284.599577,-385.064361,-393.840588
2026-02-13,117.131871,117.54698,126.300641,-199.321855,-248.893046,-241.053725
2026-02-16,59.331788,59.663404,76.256902,-44.512295,-294.207772,-280.662574
2026-02-17,-121.961644,-121.893837,-111.949109,-444.091967,-493.916652,-484.050083
2026-02-18,30.734784,30.538621,-24.25189,-230.204094,-330.326536,-390.667106
2026-02-19,-102.708104,-102.285798,-112.965146,-313.686477,-413.228795,-430.251401
2026-02-20,3.196841,3.011115,-22.577075,-263.206427,-363.323374,-387.944476
2026-02-23,-210.548326,-211.772319,-266.522648,-423.374813,-574.586363,-628.583416
2026-02-24,126.213964,126.634883,123.696804,-136.58399,-236.14189,-240.752323
2026-02-25,41.120503,40.979943,29.954152,-288.108268,-338.250045,-348.156908
2026-02-26,-100.977105,-102.192705,-123.938023,-363.801767,-464.904467,-488.137976
2026-02-27,-227.876686,-228.271308,-166.292987,-385.202774,-585.480839,-530.700594
2026-03-02,-174.558124,-175.038318,-221.562459,-330.051697,-530.54371,-583.365366
2026-03-04,153.452995,152.853766,181.048262,-157.519392,-208.157182,-185.259608
2026-03-05,-232.658647,-232.178014,-192.848528,-491.776958,-591.289066,-554.081083
2026-03-06,62.013326,62.976585,81.449608,-202.626781,-301.659552,-287.649176
2026-03-09,30.308793,29.562624,4.400837,-232.549378,-333.302237,-357.298279
2026-03-10,-301.045854,-302.002553,-306.127762,-456.563323,-657.504204,-664.39718
2026-03-11,-24.030622,-24.253625,-11.110468,-290.522978,-390.68045,-378.218205
2026-03-12,-270.022168,-270.648015,-285.797027,-532.817622,-633.413713,-648.556329
2026-03-13,250.471853,250.584004,252.577263,41.47654,-108.374021,-104.772735
2026-03-16,51.388196,51.405927,54.144848,-100.752477,-300.725982,-299.436875
2026-03-17,237.920028,238.014131,240.847901,84.09818,-115.792182,-114.253771
2026-03-18,-570.687445,-572.781234,-468.948518,-674.361126,-926.418463,-825.259506
2026-03-19,-69.597522,-68.759769,-77.157251,-437.897537,-436.974774,-446.596284
2026-03-20,-495.0386,-495.052435,-496.137144,-867.007294,-866.919098,-870.152345
2026-03-23,259.487277,260.172114,231.864231,-51.497058,-100.797674,-130.429274
2026-03-24,6.528984,6.684756,7.926551,-204.469125,-354.346264,-354.138568
2026-03-25,54.747331,54.740641,-109.658338,-154.410476,-254.443508,-416.604099
2026-03-27,-62.182829,-65.139128,49.981704,-325.032226,-427.934184,-321.615593
2026-03-30,445.889954,445.912565,445.254814,175.71697,75.863983,70.89637
2026-04-01,179.927659,179.899301,168.285917,78.061636,-171.964564,-182.765905
2026-04-02,374.025982,374.186354,388.505728,12.952559,13.13045,26.884475
2026-04-06,265.022888,265.056524,268.858047,-47.829971,-97.763683,-92.720016
2026-04-07,139.907673,144.694711,319.616192,-174.756329,-219.861167,-43.807859
2026-04-08,-140.190702,-140.520027,-105.732735,-406.628154,-506.891029,-472.025143
2026-04-09,-168.622617,-169.029375,-165.891192,-435.140695,-535.485581,-535.334812
2026-04-10,-115.074307,-115.758285,-132.75933,-374.316876,-475.003253,-496.596914
2026-04-13,200.09723,201.55977,211.169687,-116.418036,-164.828074,-152.716916
2026-04-15,26.419332,26.37714,53.907492,-238.416707,-338.339077,-315.629641
2026-04-16,-64.222296,-63.934575,-68.670383,-388.200734,-437.849486,-443.267361
2026-04-17,-30.317974,-30.18267,-24.994426,-344.983498,-394.935573,-397.524293
2026-04-20,-0.20395,0.700493,-3.363785,-207.447094,-356.476527,-369.944456
2026-04-21,-197.970832,-198.856925,-246.772,-408.900262,-559.768444,-611.15237
2026-04-22,-71.419876,-73.384124,-123.94327,-386.066618,-437.90829,-487.31768
2026-04-23,-458.047984,-458.938588,-428.475686,-774.497383,-825.258916,-797.27616
2026-04-24,177.180494,176.522947,222.964974,-87.46906,-188.080462,-140.329238
2026-04-27,-87.102705,-86.973113,-86.014213,-348.143479,-448.039222,-445.681286
2026-04-28,57.257011,57.574266,64.854614,-257.450496,-307.143467,-300.574705
2026-04-29,-18.636674,-18.002804,-28.316519,-327.969043,-377.355105,-389.761284
2026-04-30,9.654504,9.73637,6.316275,-246.018632,-345.92567,-354.228344
2026-05-01,-6.528229,-5.973163,18.75889,-277.925848,-277.396894,-255.14111
2026-05-04,-55.174368,-55.230049,-60.578069,-426.571987,-426.662133,-432.308807
2026-05-05,176.856749,177.379482,178.846269,-80.637794,-180.126538,-181.408189
2026-05-06,-66.468122,-66.496411,-67.506198,-272.103589,-422.097036,-423.403334
2026-05-07,-20.47011,-21.279145,-33.08771,-333.328955,-384.049989,-395.27642
2026-05-08,-232.82352,-233.025905,-191.187956,-495.648182,-595.781112,-554.146382
2026-05-11,-276.025377,-276.516296,-319.10521,-533.370239,-633.849565,-674.576988
2026-05-12,-64.769343,-64.474403,-70.905272,-218.452472,-418.171519,-432.865695
2026-05-13,122.575876,122.771102,140.770985,-34.740764,-234.523711,-216.975952
2026-05-14,-7.879753,-7.877253,18.535406,-270.689967,-370.713301,-345.214829
2026-05-15,112.620866,112.625776,133.412729,-202.031189,-251.985165,-231.300982
2026-05-18,-34.806652,-36.655621,44.646158,-351.281099,-403.142016,-321.894572
2026-05-19,118.48591,118.483125,120.138696,-92.48369,-242.379078,-244.171387
2026-05-20,-57.205811,-57.180514,-60.517793,-275.564191,-425.518029,-434.860689
2026-05-21,76.539096,76.436931,69.128464,-188.171325,-288.292058,-293.045386
2026-05-22,200.647678,201.209727,174.365814,93.340486,-156.098624,-187.430578
2026-05-25,18.545942,18.207675,48.216825,-247.889009,-348.186815,-317.906189
2026-05-26,18.06263,17.701487,32.715828,-189.232615,-339.644386,-326.892092
2026-05-27,-77.438351,-77.626872,-70.025964,-447.550445,-447.694876,-442.803309
2026-05-28,-192.567624,-191.776036,-141.493743,-452.055433,-451.190185,-400.390096
2026-05-29,47.582155,46.934711,25.733986,-313.805861,-314.434765,-337.82317
