Date,Close,Volume,Instrument,Ticker
,TCS.NS,TCS.NS,,
2024-06-03,3451.01953125,2156773,TCS,TCS.NS
2024-06-04,3462.3427734375,3395997,TCS,TCS.NS
2024-06-05,3491.654052734375,2799670,TCS,TCS.NS
2024-06-06,3569.894775390625,4328036,TCS,TCS.NS
2024-06-07,3629.122314453125,4552445,TCS,TCS.NS
2024-06-10,3596.269775390625,1734661,TCS,TCS.NS
2024-06-11,3590.118896484375,1419898,TCS,TCS.NS
2024-06-12,3571.0595703125,2177001,TCS,TCS.NS
2024-06-13,3614.396728515625,1932323,TCS,TCS.NS
2024-06-14,3571.432373046875,1860730,TCS,TCS.NS
2024-06-18,3555.635009765625,1774045,TCS,TCS.NS
2024-06-19,3543.146240234375,1509050,TCS,TCS.NS
2024-06-20,3529.678955078125,2846526,TCS,TCS.NS
2024-06-21,3551.58056640625,4642195,TCS,TCS.NS
2024-06-24,3557.219482421875,1702154,TCS,TCS.NS
2024-06-25,3577.39697265625,1338808,TCS,TCS.NS
2024-06-26,3593.61328125,1639845,TCS,TCS.NS
2024-06-27,3666.58837890625,4526556,TCS,TCS.NS
2024-06-28,3638.62890625,2731571,TCS,TCS.NS
2024-07-01,3707.642333984375,2658723,TCS,TCS.NS
2024-07-02,3744.17626953125,2307449,TCS,TCS.NS
2024-07-03,3695.5732421875,1821198,TCS,TCS.NS
2024-07-04,3747.485107421875,2518001,TCS,TCS.NS
2024-07-05,3738.957763671875,1668616,TCS,TCS.NS
2024-07-08,3721.6220703125,1758882,TCS,TCS.NS
2024-07-09,3714.44580078125,1305801,TCS,TCS.NS
2024-07-10,3643.2880859375,2669716,TCS,TCS.NS
2024-07-11,3656.84912109375,4872189,TCS,TCS.NS
2024-07-12,3899.399658203125,13509164,TCS,TCS.NS
2024-07-15,3885.6533203125,4848030,TCS,TCS.NS
2024-07-16,3894.2734375,2029521,TCS,TCS.NS
2024-07-18,4022.04931640625,5613364,TCS,TCS.NS
2024-07-19,4019.1064453125,3903354,TCS,TCS.NS
2024-07-22,4005.047607421875,1896386,TCS,TCS.NS
2024-07-23,4019.06005859375,2365208,TCS,TCS.NS
2024-07-24,4022.703369140625,1809793,TCS,TCS.NS
2024-07-25,4037.88330078125,2810342,TCS,TCS.NS
2024-07-26,4098.93017578125,3552210,TCS,TCS.NS
2024-07-29,4092.625,1746803,TCS,TCS.NS
2024-07-30,4077.911865234375,1797906,TCS,TCS.NS
2024-07-31,4096.59521484375,2330091,TCS,TCS.NS
2024-08-01,4107.57177734375,2202244,TCS,TCS.NS
2024-08-02,4001.030517578125,2811282,TCS,TCS.NS
2024-08-05,3881.458740234375,2787771,TCS,TCS.NS
2024-08-06,3896.5458984375,2203067,TCS,TCS.NS
2024-08-07,3923.869384765625,1237666,TCS,TCS.NS
2024-08-08,3897.806640625,2441283,TCS,TCS.NS
2024-08-09,3950.306396484375,1302536,TCS,TCS.NS
2024-08-12,3919.385986328125,936912,TCS,TCS.NS
2024-08-13,3920.600341796875,1495593,TCS,TCS.NS
2024-08-14,4012.427490234375,3226545,TCS,TCS.NS
2024-08-16,4125.27294921875,3457058,TCS,TCS.NS
2024-08-19,4194.3544921875,2055210,TCS,TCS.NS
2024-08-20,4225.46142578125,2212298,TCS,TCS.NS
2024-08-21,4251.8046875,1896990,TCS,TCS.NS
2024-08-22,4205.56396484375,1829872,TCS,TCS.NS
